,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency).1,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher.1,Bachelor's degree or higher.1,Population 45 to 64 years,High school graduate or higher.2,Bachelor's degree or higher.2,Population 65 years and over,High school graduate or higher.3,Bachelor's degree or higher.3,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,"White alone, not Hispanic or Latino","White alone, not Hispanic or Latino High school graduate or higher","White alone, not Hispanic or Latino Bachelor's degree or higher",Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone  High school graduate or higher,Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,Some other race alone,Some other race alone High school graduate or higher,Some other race alone Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher.4,Population 25 years and over with earnings,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree
8948,"Fauquier County, Virginia!!Females!!Estimate","2,484",342,"1,398",476,268,"24,532",692,"1,219","7,482","5,368","1,795","5,047","2,929",,,"4,017","3,881",947,"4,313","4,099","1,731","10,757","9,967","3,871","5,445","4,674","1,427","21,261","19,983","7,401","20,086","19,022","7,248","1,926","1,384",280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,385","1,103",153,,,,,"40,229","31,798","32,364","32,746","46,701","54,224"
8952,"Frederick County, Virginia!!Total!!Estimate","6,113",574,"2,365","3,003",171,"58,126","2,228","4,541","19,069","10,698","5,266","9,628","6,696",,,"9,257","8,633","2,598","9,789","8,578","3,356","25,344","23,150","7,420","13,736","10,996","2,950","53,278","47,529","14,661","49,976","45,315","14,181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,469","2,321",511,,,,,"42,326","35,795","36,523","36,117","47,831","71,199"
8956,"Frederick County, Virginia!!Males!!Estimate","3,063",350,"1,317","1,369",27,"28,057","1,286","2,357","9,723","5,087","2,696","3,978","2,930",,,"4,550","4,029","1,178","4,980","4,284","1,291","12,210","10,947","2,982","6,317","5,154","1,457","25,968","22,814","6,565","24,272","21,746","6,460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,832","1,144",105,,,,,"48,869","40,115","43,837","49,464","60,145","77,853"
8960,"Frederick County, Virginia!!Females!!Estimate","3,050",224,"1,048","1,634",144,"30,069",942,"2,184","9,346","5,611","2,570","5,650","3,766",,,"4,707","4,604","1,420","4,809","4,294","2,065","13,134","12,203","4,438","7,419","5,842","1,493","27,310","24,715","8,096","25,704","23,569","7,721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,637","1,177",406,,,,,"36,299","26,324","26,779","30,243","46,563","70,036"
8964,"Hanover County, Virginia!!Total!!Estimate","8,908","1,114","2,587","4,253",954,"71,095","1,318","4,025","19,734","14,659","6,569","17,224","7,566",,,"9,945","9,445","3,581","13,551","12,956","5,750","31,289","29,357","11,428","16,310","13,994","4,031","61,523","57,839","22,244","60,317","56,684","21,906","7,070","5,837","1,529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"50,110","30,787","36,780","51,057","55,958","66,599"
8968,"Hanover County, Virginia!!Males!!Estimate","4,556",529,"1,935","1,821",271,"34,117",961,"2,489","8,909","6,862","3,117","8,530","3,249",,,"4,615","4,228","1,375","6,993","6,515","2,402","15,125","13,886","5,626","7,384","6,038","2,376","29,434","26,908","10,319","28,848","26,322","10,224","3,467","2,723","1,005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"59,625","39,746","46,569","60,502","70,448","100,194"
8972,"Hanover County, Virginia!!Females!!Estimate","4,352",585,652,"2,432",683,"36,978",357,"1,536","10,825","7,797","3,452","8,694","4,317",,,"5,330","5,217","2,206","6,558","6,441","3,348","16,164","15,471","5,802","8,926","7,956","1,655","32,089","30,931","11,925","31,469","30,362","11,682","3,603","3,114",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"42,504","19,524","27,265","43,019","50,461","53,125"
8976,"Henrico County, Virginia!!Total!!Estimate","25,844","3,974","7,481","10,444","3,945","223,827","6,037","12,155","46,069","45,848","14,997","60,648","38,073",,,"47,799","44,163","22,266","43,159","40,178","22,279","87,056","81,039","38,520","45,813","40,255","15,656","136,336","129,369","67,746","129,358","123,611","65,335","61,711","53,824","17,963",0,0,0,"18,674","15,881","11,293",0,0,0,0,0,0,"3,273","3,149","1,006","9,862","8,221","3,009",,,,,"39,313","21,048","30,562","31,912","46,265","67,533"
8980,"Henrico County, Virginia!!Males!!Estimate","13,028","2,506","3,671","5,437","1,414","101,545","2,902","5,145","23,217","20,327","5,896","26,243","17,815",,,"22,833","20,868","9,019","20,181","18,845","10,278","40,415","37,393","17,186","18,116","16,392","7,575","63,776","60,554","32,044","60,032","57,111","30,731","25,700","22,187","5,615",0,0,0,"8,927","7,962","5,764",0,0,0,0,0,0,"1,235","1,135",380,"5,125","4,577","1,512",,,,,"49,979","24,888","32,828","40,396","60,346","93,841"
8984,"Henrico County, Virginia!!Females!!Estimate","12,816","1,468","3,810","5,007","2,531","122,282","3,135","7,010","22,852","25,521","9,101","34,405","20,258",,,"24,966","23,295","13,247","22,978","21,333","12,001","46,641","43,646","21,334","27,697","23,863","8,081","72,560","68,815","35,702","69,326","66,500","34,604","36,011","31,637","12,348",0,0,0,"9,747","7,919","5,529",0,0,0,0,0,0,"2,038","2,014",626,"4,737","3,644","1,497",,,,,"34,277","18,907","26,507","29,115","40,582","51,127"
